target_id,on_ofac_sdn,on_eu_fsf,on_uk_fcdo,on_un_sc,list_count,coverage_class,sole_list,schema,typology,country,added_year,dq_missing_dob,dq_name_translit,dq_mononym,dq_cross_source_conflict,dq_stale,dq_any
NK-000000,True,False,False,False,1,single-list,OFAC SDN,Organization,Other regional,China,2023,False,False,False,False,False,False
NK-000001,True,False,False,False,1,single-list,OFAC SDN,Person,Counter-terrorism,Iraq,2023,True,False,False,False,False,True
NK-000002,True,False,False,False,1,single-list,OFAC SDN,CryptoWallet,Cyber,Syria,2024,False,False,False,False,False,False
NK-000003,True,False,False,False,1,single-list,OFAC SDN,Person,Other regional,Other,2023,False,False,False,False,False,False
NK-000004,True,False,False,False,1,single-list,OFAC SDN,Vessel,Iran/DPRK proliferation,Ukraine,2018,False,False,False,False,False,False
NK-000005,True,False,False,False,1,single-list,OFAC SDN,Organization,Narcotics/TCO/Trafficking,Myanmar,2024,False,False,False,False,False,False
NK-000006,True,False,False,False,1,single-list,OFAC SDN,Person,Iran/DPRK proliferation,Russia,2024,False,False,False,False,False,False
NK-000007,True,False,False,False,1,single-list,OFAC SDN,Organization,Cyber,Russia,2024,False,False,False,False,False,False
NK-000008,True,False,False,False,1,single-list,OFAC SDN,Organization,Human rights/Corruption,Other,2023,False,False,False,False,False,False
NK-000009,True,False,False,False,1,single-list,OFAC SDN,Organization,Counter-terrorism,Libya,2024,False,False,False,False,False,False
NK-000010,True,False,False,False,1,single-list,OFAC SDN,Person,Human rights/Corruption,Libya,2021,False,False,False,False,False,False
NK-000011,True,False,False,False,1,single-list,OFAC SDN,Person,Other regional,North Korea,2024,False,True,False,False,False,True
NK-000012,True,False,False,False,1,single-list,OFAC SDN,Organization,Cyber,China,2025,False,False,False,False,False,False
NK-000013,True,False,False,False,1,single-list,OFAC SDN,Organization,Narcotics/TCO/Trafficking,Russia,2026,False,False,False,False,False,False
NK-000014,True,False,False,False,1,single-list,OFAC SDN,Person,Iran/DPRK proliferation,Other,2018,False,False,False,False,False,False
NK-000015,True,False,False,False,1,single-list,OFAC SDN,Person,Russia/Ukraine,Other,2026,False,False,False,False,False,False
NK-000016,True,False,False,False,1,single-list,OFAC SDN,Organization,Iran/DPRK proliferation,Belarus,2022,False,False,False,False,False,False
NK-000017,True,False,False,False,1,single-list,OFAC SDN,Organization,Narcotics/TCO/Trafficking,Russia,2023,False,False,False,False,False,False
NK-000018,True,False,False,False,1,single-list,OFAC SDN,Organization,Iran/DPRK proliferation,Other,2018,False,False,False,False,False,False
NK-000019,True,False,False,False,1,single-list,OFAC SDN,Organization,Human rights/Corruption,North Korea,2022,False,False,False,False,False,False
NK-000020,True,False,False,False,1,single-list,OFAC SDN,Person,Russia/Ukraine,Russia,2022,False,False,False,False,False,False
NK-000021,True,False,False,False,1,single-list,OFAC SDN,Vessel,Russia/Ukraine,Libya,2026,False,False,False,False,False,False
NK-000022,True,False,False,False,1,single-list,OFAC SDN,Organization,Narcotics/TCO/Trafficking,Belarus,2023,False,False,False,False,False,False
NK-000023,True,False,False,False,1,single-list,OFAC SDN,Person,Cyber,Ukraine,2025,True,False,False,False,False,True
NK-000024,True,False,False,False,1,single-list,OFAC SDN,Vessel,Russia/Ukraine,Afghanistan,2022,False,False,False,False,False,False
NK-000025,True,False,False,False,1,single-list,OFAC SDN,Organization,Narcotics/TCO/Trafficking,Sudan,2026,False,False,False,False,False,False
NK-000026,True,False,False,False,1,single-list,OFAC SDN,Vessel,Counter-terrorism,Iran,2023,False,False,False,False,False,False
NK-000027,True,False,False,False,1,single-list,OFAC SDN,Vessel,Narcotics/TCO/Trafficking,Russia,2023,False,False,False,False,False,False
NK-000028,True,False,False,False,1,single-list,OFAC SDN,Person,Human rights/Corruption,Other,2022,False,False,False,False,False,False
NK-000029,True,False,False,False,1,single-list,OFAC SDN,CryptoWallet,Counter-terrorism,Russia,2023,False,False,False,False,False,False
NK-000030,True,False,False,False,1,single-list,OFAC SDN,Person,Iran/DPRK proliferation,Russia,2022,False,False,False,False,False,False
NK-000031,True,False,False,False,1,single-list,OFAC SDN,Organization,Other regional,Russia,2021,False,False,False,False,False,False
NK-000032,True,False,False,False,1,single-list,OFAC SDN,Organization,Narcotics/TCO/Trafficking,Ukraine,2023,False,False,False,False,False,False
NK-000033,True,False,False,False,1,single-list,OFAC SDN,Person,Russia/Ukraine,Russia,2023,False,False,False,False,False,False
NK-000034,True,False,False,False,1,single-list,OFAC SDN,Organization,Other regional,Venezuela,2019,False,False,False,False,False,False
NK-000035,True,False,False,False,1,single-list,OFAC SDN,Organization,Cyber,Russia,2023,False,False,False,False,False,False
NK-000036,True,False,False,False,1,single-list,OFAC SDN,Organization,Narcotics/TCO/Trafficking,Russia,2021,False,False,False,False,False,False
NK-000037,True,False,False,False,1,single-list,OFAC SDN,Organization,Narcotics/TCO/Trafficking,Russia,2022,False,False,False,False,False,False
NK-000038,True,False,False,False,1,single-list,OFAC SDN,Organization,Russia/Ukraine,Libya,2025,False,False,False,False,False,False
NK-000039,True,False,False,False,1,single-list,OFAC SDN,Organization,Counter-terrorism,Russia,2018,False,False,False,False,False,False
NK-000040,True,False,False,False,1,single-list,OFAC SDN,Person,Counter-terrorism,Ukraine,2018,False,False,False,False,False,False
NK-000041,True,False,False,False,1,single-list,OFAC SDN,Organization,Other regional,Russia,2019,False,False,False,False,False,False
NK-000042,True,False,False,False,1,single-list,OFAC SDN,Organization,Russia/Ukraine,Other,2025,False,False,False,False,False,False
NK-000043,True,False,False,False,1,single-list,OFAC SDN,Organization,Russia/Ukraine,Russia,2025,False,False,False,False,False,False
NK-000044,True,False,False,False,1,single-list,OFAC SDN,Organization,Iran/DPRK proliferation,UAE,2018,False,False,False,False,False,False
NK-000045,True,False,False,False,1,single-list,OFAC SDN,Person,Other regional,UAE,2019,False,False,False,False,False,False
NK-000046,True,False,False,False,1,single-list,OFAC SDN,Person,Counter-terrorism,Russia,2019,False,False,False,False,False,False
NK-000047,True,False,False,False,1,single-list,OFAC SDN,Organization,Counter-terrorism,Russia,2025,False,False,False,False,False,False
NK-000048,True,False,False,False,1,single-list,OFAC SDN,Organization,Russia/Ukraine,Russia,2026,False,True,False,False,False,True
NK-000049,True,False,False,False,1,single-list,OFAC SDN,Organization,Russia/Ukraine,Syria,2022,False,False,False,False,False,False
NK-000050,True,False,False,False,1,single-list,OFAC SDN,Organization,Other regional,Russia,2022,False,False,False,False,False,False
NK-000051,True,False,False,False,1,single-list,OFAC SDN,Person,Cyber,Russia,2026,False,False,False,False,False,False
NK-000052,True,False,False,False,1,single-list,OFAC SDN,Person,Counter-terrorism,UAE,2018,False,False,False,False,False,False
NK-000053,True,False,False,False,1,single-list,OFAC SDN,Person,Other regional,Ukraine,2018,False,False,False,False,False,False
NK-000054,True,False,False,False,1,single-list,OFAC SDN,Person,Counter-terrorism,Afghanistan,2018,False,False,False,False,False,False
NK-000055,True,False,False,False,1,single-list,OFAC SDN,Person,Counter-terrorism,Ukraine,2019,False,False,False,False,False,False
NK-000056,True,False,False,False,1,single-list,OFAC SDN,Vessel,Other regional,Other,2023,False,False,False,False,False,False
NK-000057,True,False,False,False,1,single-list,OFAC SDN,Person,Narcotics/TCO/Trafficking,Other,2018,False,False,True,False,False,True
NK-000058,True,False,False,False,1,single-list,OFAC SDN,Organization,Narcotics/TCO/Trafficking,Libya,2026,False,False,False,False,False,False
NK-000059,True,False,False,False,1,single-list,OFAC SDN,Organization,Narcotics/TCO/Trafficking,China,2023,False,False,False,False,False,False
NK-000060,True,False,False,False,1,single-list,OFAC SDN,Organization,Human rights/Corruption,Russia,2024,False,True,False,False,False,True
NK-000061,True,False,False,False,1,single-list,OFAC SDN,Organization,Counter-terrorism,Russia,2024,False,False,False,False,False,False
NK-000062,True,False,False,False,1,single-list,OFAC SDN,Person,Iran/DPRK proliferation,Russia,2018,False,False,False,False,False,False
NK-000063,True,False,False,False,1,single-list,OFAC SDN,Person,Cyber,Russia,2026,False,False,False,False,False,False
NK-000064,True,False,False,False,1,single-list,OFAC SDN,Person,Other regional,Russia,2022,False,False,False,False,False,False
NK-000065,True,False,False,False,1,single-list,OFAC SDN,Person,Russia/Ukraine,Ukraine,2024,False,False,False,False,False,False
NK-000066,True,False,False,False,1,single-list,OFAC SDN,Person,Cyber,China,2022,False,False,False,False,False,False
NK-000067,True,False,False,False,1,single-list,OFAC SDN,Organization,Human rights/Corruption,Syria,2020,False,False,False,False,False,False
NK-000068,True,False,False,False,1,single-list,OFAC SDN,Organization,Narcotics/TCO/Trafficking,Iran,2022,False,False,False,False,False,False
NK-000069,True,False,False,False,1,single-list,OFAC SDN,Organization,Narcotics/TCO/Trafficking,Syria,2023,False,False,False,False,False,False
NK-000070,True,False,False,False,1,single-list,OFAC SDN,Organization,Iran/DPRK proliferation,Iran,2022,False,False,False,False,False,False
NK-000071,True,False,False,False,1,single-list,OFAC SDN,Organization,Human rights/Corruption,Venezuela,2022,False,False,False,False,False,False
NK-000072,True,False,False,False,1,single-list,OFAC SDN,Organization,Russia/Ukraine,Russia,2023,False,False,False,False,False,False
NK-000073,True,False,False,False,1,single-list,OFAC SDN,Organization,Narcotics/TCO/Trafficking,Iran,2025,False,False,False,False,False,False
